id_produit,ean,nom,url_image,taxonomie_niveau_1,taxonomie_niveau_2,taxonomie_niveau_3,taxonomie_niveau_4,tva
5cabe578-122c-5dc3-ba26-cdaadf89ed74,3760000000017,POM B 1K C1,https://picsum.photos/seed/apple-0/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
bc7025c4-89e1-5a0d-8062-81eacd051dd6,3760000000024,TOMATES GRAPPE,https://cdn.store.example/missing/bc7025c4-89e1-5a0d-8062-81eacd051dd6.jpg,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
a826b0ef-bab6-58df-8c5b-b4e818a25cd7,3760000000031,PATE TART NUTELLA 0.75KG,https://cdn.store.example/missing/a826b0ef-bab6-58df-8c5b-b4e818a25cd7.jpg,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
03484dab-8d75-5845-9f60-6406fe5f6741,20000042,COKA COLA ZERO 1 L,,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
50478e9d-6e92-57fa-ba9b-3828f3b25a6a,,CREM FRAICHE 0.2L,https://picsum.photos/seed/cream-4/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
9715de24-4bdf-5ac2-bd53-fe184cefbbe5,20000066,WHISKY 40%,https://cdn.store.example/missing/9715de24-4bdf-5ac2-bd53-fe184cefbbe5.jpg,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
c2d20508-a610-59fb-80d4-7a5f18347733,3760000000079,DOLIP 1G CPR,https://picsum.photos/seed/medicine-6/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
1cf92fe1-c993-5219-84ae-078823985770,20000080,PAMPERS T4 30U,https://picsum.photos/seed/diapers-7/640/480,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
cbfb5cfb-bdbc-5664-a838-f000af7b8a7e,3760000000093,CAFE MLU 250G,https://picsum.photos/seed/coffee-8/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
b53f31de-93f3-5b29-ac43-76fbfee40952,3760000000109,LESS. LIQUIDE 200CL,https://picsum.photos/seed/detergent-9/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,2.1
03bd6ce7-b844-5c37-a217-a6180c212592,,POM B 1K C1,https://picsum.photos/seed/apple-10/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
9da86faa-2f93-59f6-a887-300603ef69df,20000127,TOM GRA FR KG,https://picsum.photos/seed/tomato-11/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
b0a8f167-e8ac-53d2-acba-61007a159cae,003760000000130,NUTELLA 750 G,https://picsum.photos/seed/hazelnut-spread-12/640/480,ALIMENTAIRE,EPICERIE SUCREE,PATES A TARTINER,NOISETTE CACAO,5.5
cf993bd0-f31b-5582-a0e3-8b16542dd4cc,3760000000147,COCACOLA Z 100CL,https://picsum.photos/seed/cola-13/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
b56083bf-e00d-5b37-8eff-4ac53df66ec2,,CREME FRAICHE 30 20CL,https://picsum.photos/seed/cream-14/640/480,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
660d77c9-9db0-526f-8cfb-1535c1be4726,3760000000161,WHISKY ECOSSAIS 70 CL,https://picsum.photos/seed/coffee-15/640/480,ALIMENTAIRE,BOISSONS,ALCOOLS,SPIRITUEUX,20
6fc76250-d564-513d-85c6-44e50e427ff7,20000172,PARACETAMOL 1000 DOLI,https://picsum.photos/seed/medicine-16/640/480,SANTE,MEDICAMENTS,ANTALGIQUES,PARACETAMOL,2.1
5f1dd10d-1f42-5f4b-a092-c8fdb94d2d82,3760000000185,COUCHES PAMP TAILLE 4,https://,NON ALIMENTAIRE,BEBE,COUCHES,TAILLE 4,20
cad3bf27-fe0b-53fd-bdd2-c8e37ce8a1e3,3760000000192,CAFE MLU 250G,https://picsum.photos/seed/coffee-18/640/480,ALIMENTAIRE,EPICERIE SUCREE,CAFE THE,CAFE MOULU,5.5
1ac7c7e5-ae5b-510a-a909-d66fa9d1dd11,3760000000208,LESSIVE 2L FRESH PACK,https://picsum.photos/seed/detergent-19/640/480,NON ALIMENTAIRE,ENTRETIEN,LESSIVE,LIQUIDE,20
e8c83846-a7c4-5679-bb97-ebea28f9d273,13760000000212,POM B 1K C1,https://picsum.photos/seed/apple-20/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,FRUITS,POMMES,5.5
f7010b83-b9bf-5d8b-aa4c-0be801a3cfc0,,TOMATE GRP ORI FR LOT,https://picsum.photos/seed/tomato-21/640/480,ALIMENTAIRE,FRUITS ET LEGUMES,LEGUMES,TOMATES,5.5
dd4a5c0f-7c56-5913-905d-863e871a31b7,3760000000239,PATE TART NUTELLA 0.75KG,https://picsum.photos/seed/hazelnut-spread-22/640/480,ALIMENTAIRE,,PATES A TARTINER,NOISETTE CACAO,5.5
936414b8-dd19-5dd9-af4a-a375d64cf3fb,,COCA Z S/SUCRE 1L LOT,https://picsum.photos/seed/cola-23/640/480,ALIMENTAIRE,BOISSONS,SODAS,COLA,5.5
80be9408-4247-595b-9ee0-be60ebeae700,20000257,CREME FRAICHE 30 20CL,https://cdn.store.example/missing/80be9408-4247-595b-9ee0-be60ebeae700.jpg,ALIMENTAIRE,PRODUITS FRAIS,CREMERIE,CREMES,5.5
